"Part";"Value";"Device";"Package";"Description";"PARTNO";"POPULARITY";"SPICEPREFIX";
"JP1";"";"PINHD-1X3";"1X03";"PIN HEADER";"PPPC031LFBN-RC";"92";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"EAST2012GA0";"68";"";
"R1";"3.3kΩ";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"RC0402FR-073K3L";"86";"R";
"R2";"100Ω";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"RC0805FR-07100RL";"86";"R";
"U$1";"SENSOR_TEMPERATURA";"SENSOR_TEMPERATURA";"1X02";"";"NTCLE305E4103SB";"";"";
